Packet_Size,Packet_Count,Duration,Source_Port,Destination_Port,Protocol,TCP_Flags,Window_Size,TTL,Flow_Duration,Total_Fwd_Packets,Total_Backward_Packets,Fwd_Packet_Length_Max,Bwd_Packet_Length_Max,Flow_Bytes_s,Flow_Packets_s,Packet_Length_Mean,Packet_Length_Std
1395,159,577.7590198397743,24297,7777,1,25,45428,87,367.3356099012271,161,143,1397,1495,10451.607024506415,42.313619429653095,1210,6.42152890801095
137,14246,7.677153990398743,49183,443,0,2,663,58,5.280828555135386,12821,2,57,15,185563.55672709487,1855.6355672709487,42,6.326249876907228
943,165,299.1714122509278,19738,8080,0,24,27160,103,632.9476091675746,208,21,947,717,7526.069318903616,73.29132458204592,683,27.882084005811485
103,1970,1076.8916006753457,54637,22,0,24,4124,95,3783.990994040437,2342,230,146,140,3477.4735579946887,989.5461578011949,97,5.722547817646355
707,217,1865.584765779656,6978,443,0,24,31064,72,464.65489608829955,275,62,925,868,2124.6098529018564,58.44247765573676,769,10.856917598425541
1049,174,1055.2016717066062,51909,53,3,21,60230,83,703.2727394627718,85,37,544,533,1538.71387610543,47.68707762119047,530,120.74950750117542
64,46,221.86912810864575,31118,80,0,2,2778,121,309.2543371334602,11,0,64,2,21.675586965432654,0.4887954290065084,64,2.280262526442233
1369,223,1653.5038289580107,23518,7777,0,25,45882,101,1686.2381609663666,162,178,1312,1328,7375.890244556662,217.677439768369,1436,5.826516479648425
133,944,1063.609083855607,52688,3389,0,24,15807,90,2676.272715433043,891,442,181,94,3499.683764610391,139.54437683009792,80,5.022063283652337
107,9596,18.99277175910024,37965,443,0,2,1696,50,7.5715912067589155,8636,1,110,6,50524.48437602137,505.2448437602137,114,2.964693598640989
1485,802,3531.1044877011354,7061,9999,1,24,25196,126,989.943705254335,686,118,1385,1448,8493.186229688597,90.13526159886631,1285,22.19229077534867
987,63,1032.3107287684136,43318,80,0,24,11436,120,1195.2418048913726,175,57,744,953,3827.297564781567,50.06596241314212,917,47.52490900229842
1440,558,617.4888921489533,48441,9999,0,25,46673,33,1174.6495240469003,540,99,1443,1302,2021.6795544476302,118.92730705968884,1315,12.246591682508258
966,125,722.0703671366877,47885,8080,0,24,15130,95,1150.3355426964736,198,67,786,764,5345.254463856951,183.67383065172407,851,13.033259289215893
64,37,50.23132370032483,17630,995,0,2,3229,41,118.87582527771589,8,1,64,9,49.67788664508011,0.987930650540435,64,4.6294014372730485
68,11609,7.68458129104618,51838,80,0,2,1629,37,4.667825980263579,10448,1,193,4,151068.73829972264,1510.6873829972262,98,4.006801674883527
997,74,1511.2897747324498,8228,443,0,24,11597,126,1061.2920101880707,172,40,845,774,21181.12062569106,33.456325532498134,882,3.2868754267822036
823,128,863.9242616499411,11725,443,0,24,18070,87,325.4783343393514,50,58,773,758,3480.3431055163564,20.48999732616783,801,50.68403912034899
712,46,208.2784573128282,59008,22,3,20,21555,91,817.1631764326132,41,23,833,815,2729.8795221496916,29.239500401786522,582,68.09182694796155
64,47,159.6261617266855,23866,443,0,2,1542,52,138.26268851942342,19,0,64,5,51.68693523206688,0.879674596647644,64,2.1729651818355684
1440,483,780.6033789438139,50188,4444,1,25,24901,73,1955.1193334683555,757,110,1449,1441,19004.795691280287,105.81021962171683,1386,62.991657571042495
85,2971,4288.855396550021,65254,1433,0,24,12778,66,641.6612875020002,1068,129,94,147,1047.3643167345451,60.258074809301164,154,9.785980314323044
64,30,162.9658966600549,8043,143,0,2,3968,36,130.60049595753645,3,0,64,26,86.47586206941072,0.47651018052699956,64,3.1730212001138707
93,1770,539.4276692492653,61864,3306,0,24,15457,103,1822.5445085970082,1801,538,97,137,825.385547899116,130.33817022928332,129,37.68559810197126
810,109,1077.756732850335,59786,443,0,19,43177,111,360.6931508721958,96,5,633,1002,5078.293230654886,6.355155447104929,926,130.22513542782252
778,338,759.4141702194607,1169,8080,0,24,14519,56,1123.9926705170374,84,48,850,791,6558.406465083988,53.716926087399635,814,12.715021344963201
127,2137,2306.716235018375,63883,23,0,24,15354,45,870.3746776296223,785,301,144,121,4213.024168540207,421.155778815367,136,26.27718650415238
1395,825,1553.7814401389035,34924,4444,1,24,28376,33,380.01332151936,481,111,1370,1393,39094.35958024607,54.17761694471702,1364,12.156831915212859
177,14729,1.5835685615174875,56036,443,0,2,761,40,2.9195857230977813,13256,3,191,16,930114.4489687033,9301.144489687033,140,13.761930352147797
64,37,198.4504649406455,53959,135,0,2,3088,89,503.3151142766844,9,1,64,30,70.67282615746161,0.771839843295614,64,2.0745545259971165
64,24,385.6988741747148,32981,143,0,2,3696,49,142.91545527825434,19,1,64,7,98.55914095598348,0.19653752679773165,64,5.975361422402703
1434,687,245.0426819642808,16028,5555,1,24,18380,100,1748.364238293329,613,143,1398,1369,13064.829854938029,57.719818687267185,1310,25.894711815647526
921,132,1028.4589332153064,31691,443,0,24,17710,50,2311.364787145738,298,68,887,761,21116.401263665604,117.05206861491324,731,88.22450806050036
64,22,221.9695903370334,56404,22,0,2,1954,113,221.38397798936867,3,0,64,13,162.8687127742756,0.2648366550964506,64,0.18245767250450248
168,2246,805.0247002767055,57119,3306,0,24,12538,79,5940.530256141872,777,539,183,160,2843.557779238856,106.65672138645554,86,14.798549831954729
67,13493,2.8016854115283767,53601,80,0,2,1588,52,5.847889727153604,12143,1,74,12,481602.96457550145,4816.029645755015,124,8.215390966206453
103,2935,2175.993033270915,57725,3306,0,24,5412,93,5700.408001878051,1849,439,124,190,663.3297749796042,141.71373738576273,157,15.004710540995385
173,855,3861.809281016453,62715,23,0,24,6219,106,2199.20938958235,764,488,163,88,849.5337385269199,113.08958101992522,198,21.084017435416797
688,146,103.6323460112695,53263,53,1,25,39085,100,496.0702348191288,34,90,879,811,3112.075796251407,5.0702903648781,928,29.629827793866504
192,2932,1577.012115467702,65118,3389,0,24,14072,32,6437.441197806918,767,218,197,147,1963.2987690414036,266.75603852423126,145,20.68231360398558
121,594,1003.6219011751523,55453,23,0,24,8037,76,1719.9301122359136,1118,436,186,198,1002.3506824732679,301.69693480898434,132,0.536254309878635
95,2198,1426.6705127602565,51835,1433,0,24,10666,80,2130.3845661701216,1407,518,127,117,2270.711773329834,478.3636256905148,146,2.7686098153656786
828,216,438.27938941776586,14862,8080,0,24,27115,63,2305.569406453771,136,49,713,914,1543.6338831551302,26.16887001014004,692,6.705222284872578
1396,171,2029.8018392419208,35067,6666,1,24,36574,88,606.545204818126,640,94,1415,1456,6293.257611908325,77.82075984306007,1448,42.19463861230506
1344,848,588.8636409283049,53925,4444,0,24,54584,83,5659.315152991176,698,87,1392,1324,24195.878769043946,124.94553524210775,1356,8.95665971757569
64,28,59.885213669774075,23867,139,0,2,4031,32,663.0006040945294,3,0,64,31,193.86689513978124,0.12952436294455946,64,0.14412128430482168
64,22,116.65296502778297,37557,143,0,2,2217,65,941.8770225326903,16,0,64,23,85.88777280154397,1.404691718897826,64,1.6453709493490738
620,66,540.7373344948232,52492,80,3,18,17863,74,332.10820033195205,48,52,987,1102,1502.7207807804425,8.606696585510798,572,66.44617165229778
98,2701,3204.994885844887,56703,3306,0,24,8259,121,2194.000546758725,811,205,101,147,699.3830976268588,114.14465170459107,89,38.178648220567375
582,41,241.99773720388146,50449,53,1,17,40317,67,305.8336963055579,7,85,694,1008,1001.1737305640163,29.40975062728569,860,223.0442796224824
1498,220,1393.460197240177,55912,5555,1,25,22615,48,2539.848631388045,791,111,1407,1378,21558.790075457684,73.84226696759822,1234,9.596690338680041
64,25,127.10483633105765,36248,80,0,2,2088,104,918.0974958120734,19,0,64,5,109.8975883290269,0.2678728481369844,64,2.1500241711252293
64,44,156.54488965840346,55932,143,0,2,1886,71,176.66692045021858,5,1,64,28,43.616242446561515,0.15758000821334908,64,0.13637775095224638
1147,132,808.9206937772929,60250,443,1,16,26399,116,325.2983849144232,58,89,979,914,994.7740110361627,30.51311569524526,701,43.823373863686406
1442,829,993.8914638652457,15009,6666,1,24,46371,67,625.0541374323957,541,49,1486,1375,5469.979782200947,29.22978758204869,1387,6.711152402309957
1065,42,370.5586311760874,57187,22,3,20,38550,117,1195.9286901303954,54,22,861,614,2950.4145681484347,8.655934777361452,418,203.79009951258976
1436,415,515.368190159338,6155,4444,0,24,30516,78,1836.952834735442,612,150,1319,1353,18598.143657179164,22.23174251808068,1424,35.84477732744737
946,117,121.62391627646838,58353,80,1,21,54173,90,382.03810178818577,60,86,766,524,5878.694181560901,21.194984797531585,857,135.86655231138184
150,2932,2536.514134028342,50409,22,0,24,10298,121,4732.479309641387,1221,152,90,173,1300.4475283400639,55.78728846087902,177,14.077136992215774
1358,519,914.2643344018503,50031,9999,1,24,62915,47,415.20366885992564,153,197,1346,1336,4640.31437766172,64.8935766062706,1348,32.9131041553251
787,15,282.92097607402155,60353,443,0,25,25299,79,625.746878102589,18,66,1157,763,2880.238428603627,17.55899824955793,876,122.4864626452518
64,17,74.69559483974746,28086,143,0,2,2115,80,130.26391185871253,7,0,64,17,452.5039079633489,0.7599275624416222,64,0.8029660080348675
778,138,363.68036167377875,59289,53,1,17,32434,105,1068.8255648166005,70,67,1052,831,1272.913859050574,15.573327507065606,988,89.5157631882731
567,31,537.2316154892821,54380,443,1,23,40197,111,848.8919252290854,91,34,877,1160,1340.494200061974,10.538951810014403,475,21.93590946362298
897,327,586.3850186279843,4790,80,0,24,27947,68,1238.80861751346,301,70,783,861,16652.610922944485,85.02471143611083,854,2.828996152015193
64,15,376.43013197741107,55128,21,0,2,1763,117,742.6703734649586,18,0,64,27,13.897479656847091,0.567176513332782,64,0.7628983986516032
184,1288,8511.650482886529,56659,3389,0,24,4745,34,1103.1552898624736,1927,594,178,100,7061.213560717042,161.97836259482517,105,0.38950716692295795
64,8,207.1660502236505,58306,21,0,2,1922,122,200.09556205924412,14,1,64,6,54.075208666711596,0.16288198810184157,64,0.09904753679947469
941,197,3335.5727255702454,52044,80,0,24,14047,115,506.96837614612,75,49,861,990,15228.56428000179,26.763756576405513,816,31.07071361892291
1447,949,1357.4689884232102,26724,6666,1,24,26702,98,776.6688998506222,549,112,1412,1395,11597.478546843802,25.23207496007919,1431,4.771748058184278
189,1196,1025.957125039738,50974,3306,0,24,7544,83,1615.265906110164,816,203,184,143,1534.388397867947,284.28627208720025,186,22.98791578510648
937,87,254.61285069297708,23967,80,0,24,30886,55,624.3817896087958,303,59,839,878,2242.434270483959,32.015569040954816,662,33.24463457387617
1008,57,413.5346317487847,54784,80,3,24,32037,124,428.8100563436729,74,56,822,1107,649.7363928459788,21.12627897619056,690,29.366336235707728
188,14366,9.438849327701815,19693,53,0,2,629,62,1.45934867569228,12929,1,112,14,152200.75563488048,1522.0075563488049,112,0.13022722629882375
183,5144,3.5736963494350773,58247,443,0,2,1749,63,2.1764150685401495,4629,1,141,1,143940.600907885,1439.40600907885,119,9.705735764058767
1391,916,2212.6641907278117,13676,6666,0,25,36008,73,2578.3215526624176,594,87,1345,1417,7194.363942547467,90.5908482257159,1300,28.50779993821399
137,1129,980.8332434225283,54209,22,0,24,9853,66,1060.4235447218337,2178,256,122,150,1195.110112589342,190.4363346432116,82,11.462736061922875
831,362,936.3904133327356,46046,80,0,24,27707,71,603.8918321947868,152,37,788,757,5212.12592960091,171.59080273419633,839,26.21700737363189
172,7327,5.047302564210047,46121,443,0,2,556,44,9.195360005036633,6594,2,95,5,145166.64905240823,1451.6664905240823,109,26.47891031285434
133,10663,1.9230613769589016,18433,80,0,2,1255,53,10.012687956302397,9596,4,83,16,554480.4824098905,5544.804824098905,192,21.93601020332913
1379,111,2761.1564600265992,59457,6666,0,24,21492,93,465.0720027793086,569,170,1446,1492,5270.487146063308,64.16733110167807,1409,19.624484404187523
993,88,535.6904869203959,64584,22,0,19,48228,109,317.59942461151667,87,27,1105,619,3328.099355312113,11.011199767006467,592,43.89322524113566
64,19,146.70437953018023,21200,21,0,2,3976,46,179.91325311562855,20,1,64,21,34.135981009269905,1.1975713348685986,64,0.09165497883539585
769,77,222.0927777527142,34034,443,0,24,15721,72,575.039531889873,240,56,759,889,11271.193133419634,108.77831297593416,758,54.35770188181274
115,1406,2919.8959121841976,50724,1433,0,24,12108,118,4172.484750410145,1203,497,160,88,857.7580386826197,403.2297732796255,184,20.788632915238395
922,171,327.133650269187,37803,80,0,24,24363,113,1710.4599285559284,187,10,937,922,5166.163713354107,126.46671515699698,889,32.682072915695414
1431,461,3581.0530684472146,38568,7777,1,24,18703,57,1944.1755795165736,688,192,1461,1487,12915.969743386378,185.03669292692427,1430,6.059948130226861
100,8216,4.97304904507768,19603,443,0,2,950,39,2.0422542992949677,7394,4,57,2,165210.51623514935,1652.1051623514934,61,5.120688230573865
810,77,397.2259097192104,59925,22,1,25,19180,122,997.4782876147751,44,11,824,890,604.8697314066261,36.34284872108297,936,57.6822531874617
838,260,200.16493930093006,45353,80,0,24,20208,108,817.7772930315422,58,45,987,808,3334.9301184066967,24.131579470473245,689,49.2231802811842
106,1123,1573.2818797339946,51192,3389,0,24,9873,35,1787.2810722791273,1181,284,147,139,2495.4880979113395,386.32543673626935,184,2.923003869295391
1054,160,524.9965783319088,64129,53,3,22,48341,72,540.8804864823404,34,20,737,802,3577.3223832010904,7.603398507115375,720,45.888584538862396
64,49,550.4905831785122,44745,143,0,2,1538,38,505.42067879628576,8,1,64,33,16.207438982505188,0.11688432591879241,64,1.377701399513891
1047,143,990.5765395058208,61772,53,0,19,36951,100,1286.7995475163075,56,26,851,1177,2340.6383772718755,15.608470721327084,484,20.24573289479321
793,368,624.583964797202,2303,80,0,24,30671,85,3153.7283499891246,166,34,744,817,2574.95179981009,55.13399416809521,839,3.766797597086276
139,2043,1277.6355152703659,53916,3389,0,24,8036,39,2284.0021093904725,1457,115,143,187,3879.4800881160936,855.6135222851054,119,8.115716203138877
174,10899,5.622702547623707,4480,80,0,2,1860,35,1.3891092312781939,9809,1,119,7,193839.1708913392,1938.391708913392,96,0.6360983942277836
197,9931,7.796742099354974,33155,53,0,2,653,49,1.5818830956023309,8937,2,43,0,127373.71421868108,1273.7371421868108,98,3.5627483011469483
151,1588,582.2416621511929,52391,3389,0,24,6281,35,626.4147641848436,2395,381,127,168,1619.0730440454688,284.44587580181224,172,27.999736379258554
849,349,1215.8049360842078,38706,80,0,24,14188,89,698.0911300113592,174,43,978,979,2061.1481206199137,93.72188841382541,787,47.296428329481294
1113,28,594.837352891322,56913,80,0,22,41810,108,1051.4190531929316,92,58,954,1100,1296.1288056737294,24.896332344585772,542,138.89765020311444
814,118,393.4587735120284,50147,80,1,19,43796,119,552.4641802396181,45,47,1117,955,851.5231976761017,5.477227649567498,663,108.28411824684879
55,6935,13.40097099595068,51850,80,0,2,1266,62,1.5164746669471398,6241,3,52,2,51749.98141623859,517.4998141623859,189,9.752770467537726
1389,802,3716.345441486985,11313,8888,1,24,25651,115,1389.04250135584,502,112,1300,1436,2337.4277376671344,56.01046664183026,1377,26.698055450651886
80,1182,3357.2590059975423,55095,1433,0,24,8057,66,5373.536786431976,1082,439,150,157,1617.7414573750884,295.85518111720677,138,29.571741695501032
760,166,176.47540959125973,51025,80,1,22,38452,92,694.6509385808249,8,36,804,665,6313.479416968054,31.394258476565962,784,93.04719447317486
920,102,167.71898125685476,52365,53,1,16,59418,113,775.9644706391196,93,8,899,519,964.4325411820033,14.404430970436492,512,134.23975269377507
191,651,957.4915377222665,61221,22,0,24,11613,77,2841.1733265853095,2059,361,83,140,1405.8357180732037,303.09784041994055,92,51.2766610318761
1470,477,338.29778949377396,59222,4444,1,25,48957,68,1676.474593960294,731,119,1472,1431,3666.9204451072046,30.43677766781635,1352,6.3774342596908316
917,398,705.295458327203,32637,80,0,24,9311,54,678.6098828979062,51,49,819,707,10769.41376630024,42.13114709752687,903,5.568349929967231
744,333,854.9454499646183,13613,443,0,24,16893,72,722.2146757200327,220,14,839,873,2909.9914023087313,20.114696509763643,816,5.784362192324301
64,7114,11.500888002153062,24822,80,0,2,1206,48,2.149599877781243,6402,4,132,17,61856.09318748431,618.560931874843,198,0.7150486741002066
64,43,230.04808022349292,50380,443,0,2,1581,52,616.1639722705205,22,0,64,25,71.36253512519617,0.2882875408661081,64,6.498241256641338
856,113,578.7468747349678,30675,443,0,24,28416,69,348.83834106054036,311,57,856,844,4566.389693504048,97.5123298805228,933,29.926341278340384
676,78,189.73186151809003,52015,22,0,16,20237,127,248.74592491453373,59,63,707,1090,1389.477142409037,84.44370830158248,862,176.5665678811887
189,9852,6.840017069837405,38663,443,0,2,1418,49,1.6165665875744002,8866,0,180,7,144034.72826763272,1440.3472826763273,149,1.0451472515951834
1378,542,1585.77818350096,41467,8888,1,24,31731,81,729.2838467773437,124,117,1488,1320,9270.130048508683,58.594639872059304,1339,31.453817007989176
933,118,946.6527142246832,52970,80,0,24,11841,70,448.2055892549105,294,17,941,753,11047.44933644073,59.32295974995233,678,22.757493950293874
197,12495,3.1509932327848755,48330,80,0,2,697,54,4.436992623910502,11245,2,72,7,396541.6323333963,3965.416323333963,183,16.30289730415001
935,149,887.4079418859652,26590,8080,0,24,30665,100,2407.7386875539214,80,12,716,902,1297.5719125494734,22.604865369661738,765,41.689944860900106
64,11,300.3470432299496,18880,23,0,2,1963,62,125.75936296295626,26,1,64,33,35.7965331131405,0.13658158148931102,64,0.6328328624183346
113,2802,2851.18947333861,64822,3389,0,24,12008,85,2899.71841140857,1089,240,149,172,11753.364954571802,72.59713385492262,179,14.765750752613553
815,233,359.7124423770721,30123,443,0,24,15383,52,2069.486131388364,98,77,980,725,8536.079816517831,198.58910737519685,691,3.6088309436668493
623,122,253.03171455031486,62055,53,1,19,63993,80,251.09185111009927,5,12,645,884,2064.993545651163,17.66893110515933,937,121.33725409801613
137,5765,13.179901329084704,33697,80,0,2,1680,47,3.2777128023785966,5188,2,171,17,43740.8433952241,437.408433952241,138,2.8029305962885136
80,7793,1.5056640779419672,33482,80,0,2,1457,51,2.154606573873622,7013,0,65,0,517578.9284055939,5175.789284055939,55,12.755293694716725
132,2871,958.3957354121792,63130,3306,0,24,12477,34,1063.2343313641447,406,122,83,106,2129.772832180403,597.3926130276086,135,26.05550248807784
897,160,199.1091285907849,60884,80,3,20,20777,90,1232.331975487389,25,41,556,1087,2288.920590346188,16.79957926158482,868,41.206955837155526
182,1671,992.476554836051,55279,3306,0,24,8579,116,1289.7959258031897,1138,115,135,137,526.519955956778,206.158565132715,161,21.015361794014925
795,140,794.9204300044729,27268,80,0,24,24814,99,872.3830590313777,134,50,744,769,4884.593682688686,29.241400518817496,801,5.660694520325927
53,14290,1.405069347670724,29737,443,0,2,1280,44,1.1876353024710622,12861,3,72,1,1017031.6521166358,10170.316521166358,145,0.37068982261454075
64,29,286.87234843399654,6057,110,0,2,2229,42,172.86919046286664,10,1,64,11,103.56735737351907,0.23721505058275139,64,1.5134652103678963
62,6256,1.0550912264693104,4997,80,0,2,1586,56,2.5704485679596134,5630,3,175,16,592934.5105953233,5929.345105953233,195,5.816741985986021
799,357,237.7137750824307,25125,443,0,24,16214,66,844.4451541750813,298,76,785,817,2677.5367803359322,141.74041254255917,912,6.140909855022099
64,6,172.15882453344312,36184,23,0,2,1824,46,540.7713644527789,5,0,64,39,66.44575031623359,0.1959225845623639,64,0.8069360191582371
1038,76,170.46172865776634,61953,22,1,19,65492,126,1339.6330205621045,6,94,582,541,7027.3014435369,17.00734576046553,683,93.73879219050504
751,85,971.0373427024582,58733,22,0,19,40911,121,1524.5721649353534,58,64,894,653,1979.5568685878488,39.12050991063629,473,103.51251863501167
64,21,88.44010493180964,25991,993,0,2,3790,96,672.5657369712562,18,1,64,7,115.22083722359876,0.287909305590075,64,1.1876402495342893
555,60,665.5475774321229,55361,80,0,21,54204,79,217.62126618494622,49,84,569,1155,8321.65511629898,7.443070152259278,894,121.64324018197746
167,14085,11.728449779746365,58785,80,0,2,1925,43,5.62899130681067,12676,4,121,1,120092.59761100837,1200.9259761100839,131,3.262434729056137
64,16,237.5004040289275,6503,22,0,2,2276,56,118.44513380329496,6,1,64,31,36.32611715899003,0.11672095159363433,64,4.7351380396088745
1342,119,420.65796978381263,27470,4444,0,24,34166,126,3080.695393902246,480,83,1337,1369,19929.58677047223,98.03167914820853,1309,8.847654244822637
1444,334,473.5557132419346,32760,5555,0,24,55137,110,730.1259484216979,208,40,1468,1456,31223.48175273268,156.80793358011647,1415,71.11236644731221
758,377,271.2968303450045,14830,8080,0,24,30288,62,479.0021173842483,126,64,828,970,2039.8488530967588,34.40221932183097,725,7.5398655481263885
750,355,285.8556383992658,48937,80,0,24,9802,96,3129.2234707764574,235,36,930,762,3211.9156904179727,123.08227985396829,832,17.89737460095622
866,115,1275.3042356869373,36112,443,0,24,29535,127,1677.6876851998736,284,49,790,976,7896.452185223326,32.35379716229766,714,1.5279669142661978
108,14247,6.924034096999835,8115,443,0,2,1437,59,1.3110093792260873,12822,2,183,11,205761.5517256506,2057.6155172565063,75,4.3086562737342105
1300,162,1996.1037238869521,19059,8888,0,25,60714,35,330.5892059949163,245,21,1367,1467,13694.847395165274,273.0856467242041,1339,6.208245311453652
64,6,603.9483499913014,52495,22,0,2,2566,68,421.8945778997087,8,0,64,3,59.61964989509776,0.15556333412911622,64,3.874444188998723
557,59,275.53287643020496,58521,80,1,25,41854,67,216.11083133890952,52,72,750,902,3017.1256847773197,30.925522705709604,450,260.6395108195198
705,104,347.90705404706955,26193,80,0,24,21714,117,590.297465991179,288,32,813,832,1411.1899469069385,167.81645275013815,881,28.838250361195428
176,1221,1674.2489040897638,55030,3389,0,24,12529,73,2776.50830414104,1840,523,196,129,1597.5915038390085,211.3747146039873,121,36.36528710283156
702,92,666.4300027822237,17256,8080,0,24,14488,124,1923.3767676203704,211,11,727,850,5334.737327598197,42.55512364781735,669,11.725592153607261
177,10407,1.9024218524118526,15465,53,0,2,2029,51,1.004910843447357,9366,1,158,18,547039.5531257283,5470.3955312572825,103,11.54015888193521
659,130,159.9053813557097,52922,443,0,20,51925,109,256.27614124820997,74,29,1107,916,1765.5660662821872,5.96242536405493,627,82.24385597722072
1335,411,1161.2459904298025,53965,5555,1,24,47225,66,1500.7272738228758,480,145,1453,1498,9785.919606897352,25.9211417023455,1305,15.369360239662333
1312,110,1355.3276567223552,15699,7777,1,24,49275,122,1042.5603193543645,627,27,1395,1400,3946.569587563863,45.9977417024527,1309,16.880846350988318
930,366,1581.2518657450717,40700,80,0,24,25698,103,1260.230725062761,84,11,777,848,3649.654619676483,16.536135588698457,861,1.3738014730370693
107,12289,18.477144965509225,44027,53,0,2,1979,39,5.175249442414254,11060,1,54,5,66509.19296752576,665.0919296752575,90,12.664411428177598
95,6003,1.4693189307870806,45770,53,0,2,1282,52,4.612653648763465,5402,4,184,17,408556.63629027974,4085.566362902797,81,44.234800193835014
64,24,307.24070683828006,18946,993,0,2,1898,33,200.214728155154,4,1,64,15,30.389369572887574,0.200051680483271,64,1.7667178724712371
551,127,599.836908600294,53403,443,1,25,49030,102,827.8183707457972,39,56,1153,562,4476.342924069464,19.911966906740876,823,84.01837634183178
1421,671,228.49847786172012,16093,5555,1,25,30784,72,1661.5011528907194,295,95,1413,1361,3052.7903456311133,86.92199181425688,1244,4.534336451478688
